Order_ID,Order_Date,Region,State,City,Salesperson,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Customer_Segment,Payment_Mode
ORD-0056,2025-02-22,East,West Bengal,Howrah,Diya,Home Appliances,Cleaning,Vacuum Cleaner,4,9800,0.0,39200.0,24699.51,14500.49,Consumer,Debit Card
ORD-0053,2025-02-23,South,Telangana,Warangal,Ananya,Furniture,Tables,Office Desk,3,14500,0.1,39150.0,31612.84,7537.16,Corporate,Net Banking
ORD-0107,2025-02-23,North,Punjab,Ludhiana,Arjun,Electronics,Mobiles,Smartphone Pro,3,42000,0.15,107100.0,85269.74,21830.26,Consumer,Credit Card
ORD-0298,2025-02-23,West,Goa,Panaji,Diya,Home Appliances,Cleaning,Steam Mop,6,5200,0.0,31200.0,19401.11,11798.89,Consumer,Debit Card
ORD-0322,2025-02-23,West,Gujarat,Ahmedabad,Meera,Furniture,Tables,Office Desk,4,14500,0.1,52200.0,40591.1,11608.9,Consumer,UPI
ORD-0258,2025-02-23,East,West Bengal,Howrah,Diya,Electronics,Mobiles,Budget Phone,3,14000,0.1,37800.0,30282.64,7517.36,Corporate,UPI
ORD-0028,2025-02-23,North,Delhi,Noida,Kabir,Furniture,Chairs,Executive Chair,2,12500,0.15,21250.0,14344.93,6905.07,Consumer,Credit Card
ORD-0186,2025-02-24,West,Goa,Panaji,Ananya,Furniture,Chairs,Executive Chair,3,12500,0.0,37500.0,28034.87,9465.13,Corporate,Debit Card
ORD-0060,2025-02-25,West,Maharashtra,Mumbai,Ishita,Electronics,Mobiles,Smartphone X,3,28000,0.0,84000.0,55948.78,28051.22,Consumer,Debit Card
ORD-0044,2025-02-27,East,Bihar,Gaya,Ananya,Home Appliances,Cooling,Tower Fan,3,7200,0.05,20520.0,14551.64,5968.36,Consumer,UPI
ORD-0600,2025-02-27,South,Kerala,Thiruvananthapuram,Aarav,Furniture,Storage,Bookshelf,7,8500,0.0,59500.0,44012.61,15487.39,Corporate,Debit Card
ORD-0105,2025-03-02,North,Punjab,Jalandhar,Rohan,Furniture,Chairs,Office Chair,4,7500,0.05,28500.0,23626.26,4873.74,Consumer,Credit Card
ORD-0213,2025-03-04,East,Odisha,Rourkela,Aarav,Home Appliances,Cooling,Air Cooler,4,12500,0.0,50000.0,41590.91,8409.09,Consumer,Net Banking
ORD-0333,2025-03-05,West,Goa,Panaji,Arjun,Electronics,Accessories,Power Bank,1,1800,0.1,1620.0,1102.51,517.49,Corporate,UPI
ORD-0535,2025-03-05,East,Jharkhand,Ranchi,Rohan,Home Appliances,Cleaning,Robot Vacuum,7,26000,0.2,145600.0,98714.08,46885.92,Small Business,UPI
ORD-0134,2025-03-07,East,Bihar,Patna,Kabir,Office Supplies,Stationery,Calculator,1,750,0.05,712.5,593.71,118.79,Corporate,UPI
ORD-0585,2025-03-07,South,Tamil Nadu,Chennai,Aarav,Home Appliances,Kitchen,Mixer Grinder,6,4200,0.1,22680.0,17851.3,4828.7,Corporate,UPI
ORD-0551,2025-03-09,South,Tamil Nadu,Chennai,Ananya,Electronics,Laptops,Business Laptop,5,68000,0.0,340000.0,218101.23,121898.77,Consumer,UPI
ORD-0297,2025-03-09,West,Rajasthan,Jodhpur,Arjun,Office Supplies,Writing,Ball Pen Set,5,250,0.05,1187.5,740.27,447.23,Consumer,Credit Card
ORD-0502,2025-03-10,East,West Bengal,Kolkata,Diya,Electronics,Laptops,Business Laptop,4,68000,0.05,258400.0,163531.22,94868.78,Consumer,UPI
ORD-0438,2025-03-10,East,Jharkhand,Dhanbad,Arjun,Home Appliances,Kitchen,Mixer Grinder,2,4200,0.15,7140.0,4458.43,2681.57,Corporate,Net Banking
ORD-0076,2025-03-10,South,Tamil Nadu,Coimbatore,Ananya,Electronics,Accessories,Power Bank,4,1800,0.1,6480.0,4376.56,2103.44,Consumer,Net Banking
ORD-0184,2025-03-11,West,Gujarat,Surat,Meera,Home Appliances,Cleaning,Steam Mop,1,5200,0.2,4160.0,2915.94,1244.06,Corporate,UPI
ORD-0043,2025-03-11,East,West Bengal,Kolkata,Ananya,Home Appliances,Kitchen,Electric Kettle,7,1800,0.2,10080.0,7920.29,2159.71,Consumer,Debit Card
ORD-0368,2025-03-13,East,West Bengal,Kolkata,Rohan,Home Appliances,Cleaning,Vacuum Cleaner,6,9800,0.1,52920.0,34937.14,17982.86,Corporate,Debit Card
ORD-0440,2025-03-14,South,Telangana,Hyderabad,Ananya,Electronics,Mobiles,Smartphone X,4,28000,0.05,106400.0,87309.68,19090.32,Corporate,Debit Card
ORD-0249,2025-03-15,East,West Bengal,Durgapur,Diya,Office Supplies,Writing,Marker Set,1,320,0.1,288.0,233.49,54.51,Small Business,Credit Card
ORD-0080,2025-03-16,North,Delhi,Noida,Ishita,Home Appliances,Kitchen,Air Fryer,1,6500,0.0,6500.0,4622.74,1877.26,Consumer,UPI
ORD-0144,2025-03-17,South,Tamil Nadu,Madurai,Diya,Electronics,Laptops,Laptop Pro,7,82000,0.0,574000.0,396868.7,177131.3,Consumer,Debit Card
ORD-0039,2025-03-17,East,Jharkhand,Ranchi,Aarav,Electronics,Accessories,Power Bank,1,1800,0.0,1800.0,1495.58,304.42,Consumer,Cash
ORD-0428,2025-03-17,West,Maharashtra,Mumbai,Arjun,Office Supplies,Stationery,Desk Organizer,6,550,0.0,3300.0,2626.19,673.81,Consumer,Debit Card
ORD-0071,2025-03-19,North,Delhi,New Delhi,Diya,Electronics,Laptops,Business Laptop,5,68000,0.0,340000.0,228429.74,111570.26,Small Business,UPI
ORD-0117,2025-03-20,East,Jharkhand,Dhanbad,Meera,Electronics,Mobiles,Budget Phone,5,14000,0.0,70000.0,48383.6,21616.4,Corporate,Debit Card
ORD-0581,2025-03-20,West,Gujarat,Vadodara,Aarav,Furniture,Chairs,Visitor Chair,3,3200,0.0,9600.0,7431.13,2168.87,Consumer,UPI
ORD-0515,2025-03-22,North,Punjab,Jalandhar,Arjun,Office Supplies,Stationery,Stapler,5,280,0.2,1120.0,765.24,354.76,Consumer,UPI
ORD-0014,2025-03-22,South,Tamil Nadu,Coimbatore,Kabir,Home Appliances,Cleaning,Robot Vacuum,2,26000,0.1,46800.0,30540.7,16259.3,Corporate,Credit Card
ORD-0284,2025-03-22,West,Rajasthan,Jaipur,Aarav,Electronics,Mobiles,Smartphone Pro,1,42000,0.1,37800.0,27667.93,10132.07,Consumer,UPI
ORD-0464,2025-03-22,South,Karnataka,Bengaluru,Rohan,Furniture,Tables,Conference Table,3,28000,0.1,75600.0,50103.16,25496.84,Small Business,Debit Card
ORD-0241,2025-03-23,South,Telangana,Nizamabad,Ananya,Home Appliances,Cooling,Tower Fan,1,7200,0.15,6120.0,5114.87,1005.13,Small Business,Debit Card
ORD-0339,2025-03-25,North,Uttar Pradesh,Kanpur,Kabir,Electronics,Laptops,Laptop Pro,2,82000,0.0,164000.0,117499.52,46500.48,Small Business,UPI
ORD-0509,2025-03-26,South,Karnataka,Mangaluru,Ishita,Home Appliances,Cooling,Air Cooler,1,12500,0.1,11250.0,7672.52,3577.48,Consumer,UPI
ORD-0538,2025-03-26,North,Punjab,Amritsar,Aarav,Furniture,Chairs,Visitor Chair,2,3200,0.05,6080.0,4301.91,1778.09,Consumer,Net Banking
ORD-0173,2025-03-28,East,Bihar,Patna,Kabir,Office Supplies,Paper,Photo Paper,5,900,0.0,4500.0,2827.64,1672.36,Corporate,Net Banking
ORD-0128,2025-03-28,West,Gujarat,Vadodara,Ananya,Office Supplies,Paper,Premium Paper,6,650,0.0,3900.0,2469.78,1430.22,Consumer,Net Banking
ORD-0441,2025-03-30,West,Rajasthan,Udaipur,Arjun,Electronics,Mobiles,Smartphone Pro,2,42000,0.15,71400.0,56298.11,15101.89,Small Business,Credit Card
ORD-0540,2025-03-31,North,Haryana,Panipat,Diya,Home Appliances,Cooling,Room Heater,5,4800,0.15,20400.0,15954.88,4445.12,Corporate,UPI
ORD-0274,2025-04-01,North,Haryana,Gurugram,Diya,Furniture,Tables,Office Desk,1,14500,0.15,12325.0,8322.09,4002.91,Corporate,UPI
ORD-0027,2025-04-02,North,Haryana,Gurugram,Diya,Office Supplies,Paper,Premium Paper,6,650,0.15,3315.0,2301.8,1013.2,Consumer,Credit Card
ORD-0315,2025-04-03,East,West Bengal,Durgapur,Aarav,Office Supplies,Paper,Premium Paper,4,650,0.1,2340.0,1838.26,501.74,Small Business,UPI
ORD-0271,2025-04-03,North,Uttar Pradesh,Kanpur,Ishita,Office Supplies,Stationery,Calculator,1,750,0.1,675.0,534.53,140.47,Corporate,Net Banking
ORD-0032,2025-04-04,South,Kerala,Thiruvananthapuram,Ishita,Office Supplies,Paper,A4 Paper Pack,6,450,0.0,2700.0,1729.93,970.07,Small Business,UPI
ORD-0351,2025-04-04,East,Odisha,Cuttack,Diya,Furniture,Tables,Conference Table,5,28000,0.15,119000.0,84196.12,34803.88,Consumer,UPI
ORD-0376,2025-04-06,East,West Bengal,Howrah,Ananya,Furniture,Storage,Storage Unit,3,11500,0.15,29325.0,22780.43,6544.57,Consumer,UPI
ORD-0418,2025-04-08,West,Gujarat,Ahmedabad,Rohan,Home Appliances,Cooling,Tower Fan,3,7200,0.15,18360.0,13758.25,4601.75,Consumer,UPI
ORD-0589,2025-04-10,East,Odisha,Bhubaneswar,Ishita,Electronics,Accessories,Power Bank,3,1800,0.15,4590.0,3640.23,949.77,Consumer,UPI
ORD-0597,2025-04-10,South,Karnataka,Mysuru,Rohan,Furniture,Tables,Office Desk,5,14500,0.1,65250.0,43950.85,21299.15,Consumer,UPI
ORD-0033,2025-04-10,North,Punjab,Ludhiana,Diya,Furniture,Chairs,Executive Chair,6,12500,0.1,67500.0,42563.68,24936.32,Consumer,UPI
ORD-0255,2025-04-11,North,Uttar Pradesh,Noida,Ishita,Home Appliances,Kitchen,Mixer Grinder,4,4200,0.15,14280.0,10877.26,3402.74,Small Business,Credit Card
ORD-0403,2025-04-12,East,Bihar,Patna,Kabir,Furniture,Chairs,Office Chair,7,7500,0.15,44625.0,32575.85,12049.15,Corporate,UPI
ORD-0054,2025-04-13,South,Kerala,Thiruvananthapuram,Ishita,Electronics,Accessories,Wireless Earbuds,5,2500,0.1,11250.0,8967.49,2282.51,Corporate,Cash
ORD-0171,2025-04-15,East,Bihar,Patna,Meera,Office Supplies,Paper,Premium Paper,2,650,0.15,1105.0,901.97,203.03,Corporate,UPI
ORD-0357,2025-04-15,East,Jharkhand,Jamshedpur,Ananya,Electronics,Accessories,Smart Watch,5,6500,0.0,32500.0,25269.76,7230.24,Corporate,Cash
ORD-0226,2025-04-15,East,West Bengal,Kolkata,Diya,Furniture,Storage,Storage Unit,1,11500,0.15,9775.0,7498.27,2276.73,Consumer,Credit Card
ORD-0499,2025-04-15,West,Goa,Margao,Meera,Electronics,Laptops,Laptop Pro,4,82000,0.1,295200.0,196997.07,98202.93,Small Business,Cash
ORD-0473,2025-04-17,South,Tamil Nadu,Coimbatore,Ananya,Office Supplies,Stationery,Calculator,3,750,0.1,2025.0,1521.65,503.35,Consumer,UPI
ORD-0096,2025-04-18,West,Maharashtra,Mumbai,Ananya,Office Supplies,Writing,Ball Pen Set,7,250,0.0,1750.0,1114.94,635.06,Small Business,UPI
ORD-0187,2025-04-19,East,Odisha,Rourkela,Ananya,Electronics,Accessories,Wireless Earbuds,7,2500,0.0,17500.0,11075.42,6424.58,Corporate,Debit Card
ORD-0237,2025-04-21,South,Kerala,Thiruvananthapuram,Diya,Furniture,Storage,Bookshelf,4,8500,0.1,30600.0,25702.07,4897.93,Consumer,Credit Card
ORD-0536,2025-04-21,East,Bihar,Patna,Diya,Home Appliances,Cooling,Tower Fan,6,7200,0.0,43200.0,27656.25,15543.75,Small Business,Credit Card
ORD-0183,2025-04-22,South,Karnataka,Mysuru,Rohan,Electronics,Laptops,Laptop Air,6,58000,0.1,313200.0,207139.66,106060.34,Corporate,Credit Card
ORD-0188,2025-04-23,West,Goa,Vasco da Gama,Kabir,Furniture,Tables,Conference Table,1,28000,0.05,26600.0,17010.49,9589.51,Small Business,Debit Card
ORD-0178,2025-04-23,South,Karnataka,Mysuru,Meera,Office Supplies,Writing,Notebook,4,180,0.0,720.0,477.68,242.32,Small Business,Debit Card
ORD-0555,2025-04-24,North,Delhi,Noida,Ishita,Office Supplies,Paper,Premium Paper,1,650,0.05,617.5,383.35,234.15,Consumer,UPI
ORD-0575,2025-04-25,South,Telangana,Hyderabad,Ananya,Electronics,Mobiles,Smartphone Pro,7,42000,0.1,264600.0,201607.48,62992.52,Corporate,Credit Card
ORD-0125,2025-04-26,South,Karnataka,Bengaluru,Diya,Furniture,Tables,Study Table,2,6500,0.1,11700.0,9525.64,2174.36,Consumer,UPI
ORD-0529,2025-04-26,South,Karnataka,Bengaluru,Diya,Electronics,Mobiles,Smartphone Pro,3,42000,0.1,113400.0,74652.86,38747.14,Consumer,UPI
ORD-0024,2025-04-26,South,Karnataka,Mangaluru,Arjun,Office Supplies,Paper,A4 Paper Pack,1,450,0.1,405.0,302.09,102.91,Consumer,UPI
ORD-0045,2025-04-27,East,West Bengal,Durgapur,Ishita,Furniture,Tables,Study Table,7,6500,0.1,40950.0,26135.77,14814.23,Small Business,Cash
ORD-0131,2025-04-27,South,Kerala,Kozhikode,Diya,Home Appliances,Cleaning,Vacuum Cleaner,3,9800,0.1,26460.0,18958.47,7501.53,Consumer,Net Banking
ORD-0150,2025-04-28,North,Uttar Pradesh,Kanpur,Rohan,Home Appliances,Kitchen,Mixer Grinder,2,4200,0.0,8400.0,5212.78,3187.22,Small Business,UPI
ORD-0230,2025-04-28,South,Karnataka,Mangaluru,Ananya,Furniture,Storage,Bookshelf,7,8500,0.0,59500.0,48535.55,10964.45,Consumer,Credit Card
ORD-0426,2025-04-28,West,Goa,Margao,Diya,Office Supplies,Stationery,Calculator,5,750,0.05,3562.5,2284.75,1277.75,Corporate,Debit Card
ORD-0116,2025-04-30,East,Odisha,Rourkela,Kabir,Electronics,Laptops,Laptop Air,2,58000,0.1,104400.0,66058.32,38341.68,Small Business,Cash
ORD-0326,2025-04-30,South,Tamil Nadu,Chennai,Ishita,Electronics,Laptops,Laptop Air,5,58000,0.15,246500.0,197533.25,48966.75,Corporate,UPI
ORD-0059,2025-05-01,South,Karnataka,Mysuru,Ishita,Electronics,Laptops,Laptop Air,3,58000,0.0,174000.0,138481.43,35518.57,Consumer,Net Banking
ORD-0484,2025-05-01,West,Rajasthan,Udaipur,Ananya,Furniture,Storage,Filing Cabinet,5,9200,0.1,41400.0,32150.87,9249.13,Corporate,UPI
ORD-0477,2025-05-01,East,Jharkhand,Dhanbad,Rohan,Office Supplies,Stationery,Calculator,2,750,0.1,1350.0,980.95,369.05,Consumer,UPI
ORD-0522,2025-05-02,South,Karnataka,Mysuru,Aarav,Electronics,Accessories,Smart Watch,2,6500,0.05,12350.0,9223.47,3126.53,Consumer,Debit Card
ORD-0303,2025-05-03,West,Maharashtra,Pune,Ananya,Home Appliances,Cleaning,Robot Vacuum,5,26000,0.05,123500.0,100309.05,23190.95,Small Business,Credit Card
ORD-0209,2025-05-04,South,Tamil Nadu,Chennai,Aarav,Office Supplies,Writing,Marker Set,4,320,0.1,1152.0,756.6,395.4,Small Business,UPI
ORD-0189,2025-05-04,West,Gujarat,Ahmedabad,Kabir,Electronics,Laptops,Business Laptop,3,68000,0.1,183600.0,153865.58,29734.42,Corporate,Cash
ORD-0330,2025-05-05,West,Goa,Vasco da Gama,Diya,Home Appliances,Cooling,Tower Fan,3,7200,0.15,18360.0,13058.72,5301.28,Consumer,UPI
ORD-0468,2025-05-06,North,Delhi,New Delhi,Ananya,Electronics,Laptops,Business Laptop,2,68000,0.0,136000.0,102166.29,33833.71,Consumer,UPI
ORD-0561,2025-05-06,West,Gujarat,Vadodara,Meera,Electronics,Laptops,Business Laptop,3,68000,0.2,163200.0,118221.65,44978.35,Consumer,Net Banking
ORD-0223,2025-05-07,East,Bihar,Muzaffarpur,Ishita,Furniture,Storage,Bookshelf,3,8500,0.0,25500.0,18337.85,7162.15,Consumer,Credit Card
ORD-0030,2025-05-07,West,Rajasthan,Udaipur,Aarav,Furniture,Storage,Filing Cabinet,5,9200,0.0,46000.0,29338.43,16661.57,Corporate,UPI
ORD-0164,2025-05-08,North,Delhi,Noida,Meera,Electronics,Laptops,Laptop Air,7,58000,0.2,324800.0,240643.18,84156.82,Corporate,Net Banking
ORD-0203,2025-05-09,North,Uttar Pradesh,Noida,Arjun,Electronics,Accessories,Smart Watch,3,6500,0.2,15600.0,10154.92,5445.08,Consumer,Net Banking
ORD-0306,2025-05-09,North,Delhi,Noida,Ananya,Home Appliances,Kitchen,Electric Kettle,4,1800,0.05,6840.0,5453.43,1386.57,Small Business,Credit Card
ORD-0570,2025-05-09,West,Gujarat,Vadodara,Kabir,Electronics,Mobiles,Budget Phone,3,14000,0.05,39900.0,28948.15,10951.85,Consumer,Credit Card
ORD-0007,2025-05-09,South,Kerala,Kochi,Ananya,Electronics,Accessories,Wireless Earbuds,1,2500,0.0,2500.0,1782.87,717.13,Consumer,UPI
ORD-0295,2025-05-14,South,Kerala,Thiruvananthapuram,Arjun,Office Supplies,Stationery,Calculator,6,750,0.1,4050.0,3138.08,911.92,Corporate,Credit Card
ORD-0008,2025-05-15,North,Uttar Pradesh,Noida,Aarav,Home Appliances,Cooling,Air Cooler,2,12500,0.05,23750.0,15330.42,8419.58,Corporate,UPI
ORD-0099,2025-05-17,East,West Bengal,Durgapur,Kabir,Furniture,Tables,Office Desk,7,14500,0.0,101500.0,78503.39,22996.61,Small Business,Cash
ORD-0316,2025-05-19,North,Punjab,Ludhiana,Rohan,Furniture,Chairs,Visitor Chair,3,3200,0.15,8160.0,6643.57,1516.43,Consumer,Debit Card
ORD-0353,2025-05-20,South,Karnataka,Mangaluru,Aarav,Electronics,Accessories,Power Bank,2,1800,0.05,3420.0,2373.21,1046.79,Corporate,Net Banking
ORD-0148,2025-05-24,North,Punjab,Ludhiana,Diya,Office Supplies,Paper,Premium Paper,3,650,0.15,1657.5,1221.74,435.76,Corporate,Debit Card
ORD-0018,2025-05-24,West,Rajasthan,Jaipur,Diya,Electronics,Accessories,Power Bank,6,1800,0.1,9720.0,6515.13,3204.87,Small Business,Credit Card
ORD-0342,2025-05-25,North,Uttar Pradesh,Kanpur,Aarav,Home Appliances,Cleaning,Robot Vacuum,4,26000,0.05,98800.0,71859.57,26940.43,Consumer,UPI
ORD-0048,2025-05-25,North,Uttar Pradesh,Kanpur,Aarav,Furniture,Tables,Study Table,1,6500,0.05,6175.0,4444.23,1730.77,Consumer,Net Banking
ORD-0371,2025-05-25,North,Haryana,Gurugram,Arjun,Office Supplies,Stationery,Calculator,4,750,0.15,2550.0,1924.24,625.76,Consumer,UPI
ORD-0072,2025-05-25,East,Odisha,Rourkela,Aarav,Office Supplies,Stationery,Stapler,6,280,0.1,1512.0,1083.38,428.62,Consumer,Credit Card
ORD-0516,2025-05-26,West,Maharashtra,Pune,Diya,Furniture,Chairs,Office Chair,4,7500,0.1,27000.0,20868.12,6131.88,Small Business,Debit Card
ORD-0518,2025-05-26,East,West Bengal,Kolkata,Meera,Office Supplies,Writing,Marker Set,3,320,0.0,960.0,732.12,227.88,Small Business,Credit Card
ORD-0388,2025-05-27,East,Odisha,Cuttack,Diya,Electronics,Laptops,Laptop Air,2,58000,0.05,110200.0,80557.98,29642.02,Corporate,Debit Card
ORD-0427,2025-05-27,East,Odisha,Rourkela,Kabir,Home Appliances,Cooling,Air Cooler,2,12500,0.1,22500.0,17154.92,5345.08,Consumer,Debit Card
ORD-0242,2025-05-27,East,West Bengal,Durgapur,Arjun,Electronics,Mobiles,Smartphone X,1,28000,0.1,25200.0,17278.52,7921.48,Small Business,Credit Card
ORD-0482,2025-05-29,North,Haryana,Gurugram,Aarav,Furniture,Storage,Storage Unit,5,11500,0.05,54625.0,40093.49,14531.51,Corporate,Net Banking
ORD-0573,2025-05-29,East,Jharkhand,Ranchi,Aarav,Electronics,Mobiles,Budget Phone,6,14000,0.05,79800.0,55949.34,23850.66,Consumer,Net Banking
ORD-0166,2025-05-29,North,Punjab,Jalandhar,Aarav,Office Supplies,Stationery,Desk Organizer,1,550,0.05,522.5,343.57,178.93,Corporate,UPI
ORD-0567,2025-05-30,South,Kerala,Kozhikode,Ishita,Furniture,Tables,Study Table,7,6500,0.05,43225.0,29180.11,14044.89,Small Business,Credit Card
ORD-0139,2025-05-31,East,West Bengal,Durgapur,Meera,Furniture,Storage,Storage Unit,2,11500,0.05,21850.0,16105.5,5744.5,Consumer,UPI
ORD-0445,2025-06-01,West,Gujarat,Ahmedabad,Kabir,Home Appliances,Cleaning,Robot Vacuum,6,26000,0.1,140400.0,97290.98,43109.02,Corporate,UPI
ORD-0020,2025-06-02,West,Goa,Vasco da Gama,Rohan,Home Appliances,Cleaning,Steam Mop,3,5200,0.05,14820.0,12253.61,2566.39,Consumer,UPI
ORD-0095,2025-06-03,East,Bihar,Muzaffarpur,Diya,Home Appliances,Kitchen,Air Fryer,3,6500,0.1,17550.0,12171.52,5378.48,Consumer,UPI
ORD-0332,2025-06-04,South,Karnataka,Mysuru,Arjun,Home Appliances,Cleaning,Vacuum Cleaner,6,9800,0.0,58800.0,42338.83,16461.17,Small Business,UPI
ORD-0416,2025-06-04,South,Karnataka,Mangaluru,Arjun,Home Appliances,Cleaning,Vacuum Cleaner,2,9800,0.1,17640.0,14078.99,3561.01,Small Business,UPI
ORD-0272,2025-06-04,West,Goa,Margao,Aarav,Home Appliances,Kitchen,Air Fryer,4,6500,0.0,26000.0,19063.99,6936.01,Consumer,Net Banking
ORD-0324,2025-06-05,West,Maharashtra,Pune,Rohan,Office Supplies,Stationery,Desk Organizer,6,550,0.1,2970.0,1988.44,981.56,Corporate,UPI
